DATE,VALUE
1988-01-01,60.2600
1988-02-01,60.5044
1988-03-01,60.6476
1988-04-01,60.9699
1988-05-01,60.9173
1988-06-01,61.0666
1988-07-01,61.1463
1988-08-01,61.4037
1988-09-01,61.1930
1988-10-01,61.5135
1988-11-01,61.6195
1988-12-01,61.8878
1989-01-01,62.0475
1989-02-01,61.7888
1989-03-01,61.9629
1989-04-01,61.9874
1989-05-01,61.5734
1989-06-01,61.6115
1989-07-01,61.0181
1989-08-01,61.5467
1989-09-01,61.3895
1989-10-01,61.3233
1989-11-01,61.5088
1989-12-01,61.8707
1990-01-01,61.4958
1990-02-01,62.0704
1990-03-01,62.4040
1990-04-01,62.3220
1990-05-01,62.4423
1990-06-01,62.6427
1990-07-01,62.5518
1990-08-01,62.7296
1990-09-01,62.8545
1990-10-01,62.3786
1990-11-01,61.6223
1990-12-01,61.1932
1991-01-01,60.9240
1991-02-01,60.5331
1991-03-01,60.2184
1991-04-01,60.3174
1991-05-01,60.9240
1991-06-01,61.5212
1991-07-01,61.5051
1991-08-01,61.5969
1991-09-01,62.1338
1991-10-01,61.9979
1991-11-01,61.9310
1991-12-01,61.7052
1992-01-01,61.3182
1992-02-01,61.7969
1992-03-01,62.2883
1992-04-01,62.7326
1992-05-01,62.9558
1992-06-01,62.9521
1992-07-01,63.4965
1992-08-01,63.1787
1992-09-01,63.3148
1992-10-01,63.8104
1992-11-01,64.0769
1992-12-01,64.0921
1993-01-01,64.4088
1993-02-01,64.6457
1993-03-01,64.6214
1993-04-01,64.8160
1993-05-01,64.5884
1993-06-01,64.7227
1993-07-01,64.9215
1993-08-01,64.8955
1993-09-01,65.2022
1993-10-01,65.6822
1993-11-01,65.9480
1993-12-01,66.2804
1994-01-01,66.5468
1994-02-01,66.5809
1994-03-01,67.2653
1994-04-01,67.6227
1994-05-01,67.9940
1994-06-01,68.4460
1994-07-01,68.5541
1994-08-01,68.9440
1994-09-01,69.1631
1994-10-01,69.7669
1994-11-01,70.2129
1994-12-01,70.9458
1995-01-01,71.0841
1995-02-01,71.0389
1995-03-01,71.1524
1995-04-01,71.1219
1995-05-01,71.3093
1995-06-01,71.5697
1995-07-01,71.2942
1995-08-01,72.2334
1995-09-01,72.5002
1995-10-01,72.3714
1995-11-01,72.5587
1995-12-01,72.8395
1996-01-01,72.3593
1996-02-01,73.5136
1996-03-01,73.3994
1996-04-01,74.0141
1996-05-01,74.5297
1996-06-01,75.1926
1996-07-01,75.0932
1996-08-01,75.5821
1996-09-01,75.9835
1996-10-01,75.9867
1996-11-01,76.6111
1996-12-01,77.1026
1997-01-01,77.1900
1997-02-01,78.1257
1997-03-01,78.7260
1997-04-01,78.7613
1997-05-01,79.3048
1997-06-01,79.6636
1997-07-01,80.1496
1997-08-01,81.2117
1997-09-01,81.9190
1997-10-01,82.4793
1997-11-01,83.2123
1997-12-01,83.5079
1998-01-01,83.9210
1998-02-01,83.9956
1998-03-01,84.0506
1998-04-01,84.3708
1998-05-01,84.9363
1998-06-01,84.4407
1998-07-01,84.0818
1998-08-01,85.8655
1998-09-01,85.5895
1998-10-01,86.2691
1998-11-01,86.1935
1998-12-01,86.4992
1999-01-01,86.8865
1999-02-01,87.2633
1999-03-01,87.4504
1999-04-01,87.6525
1999-05-01,88.3035
1999-06-01,88.1345
1999-07-01,88.7320
1999-08-01,89.1042
1999-09-01,88.8555
1999-10-01,89.9920
1999-11-01,90.4420
1999-12-01,91.1624
2000-01-01,91.2332
2000-02-01,91.5783
2000-03-01,91.9442
2000-04-01,92.5202
2000-05-01,92.6592
2000-06-01,92.7126
2000-07-01,92.4984
2000-08-01,92.2519
2000-09-01,92.7005
2000-10-01,92.2835
2000-11-01,92.2721
2000-12-01,91.9780
2001-01-01,91.3166
2001-02-01,90.7666
2001-03-01,90.5202
2001-04-01,90.2684
2001-05-01,89.6126
2001-06-01,89.0137
2001-07-01,88.6214
2001-08-01,88.3938
2001-09-01,88.1055
2001-10-01,87.6738
2001-11-01,87.2008
2001-12-01,87.2224
2002-01-01,87.7600
2002-02-01,87.7249
2002-03-01,88.3748
2002-04-01,88.7446
2002-05-01,89.2026
2002-06-01,90.0745
2002-07-01,89.7723
2002-08-01,89.8958
2002-09-01,89.9425
2002-10-01,89.6446
2002-11-01,90.1355
2002-12-01,89.7289
2003-01-01,90.3564
2003-02-01,90.6904
2003-03-01,90.5100
2003-04-01,89.7698
2003-05-01,89.7575
2003-06-01,89.7652
2003-07-01,90.0817
2003-08-01,89.9743
2003-09-01,90.5213
2003-10-01,90.4884
2003-11-01,91.1730
2003-12-01,91.0979
2004-01-01,91.3636
2004-02-01,91.8804
2004-03-01,91.3880
2004-04-01,91.7603
2004-05-01,92.4272
2004-06-01,91.6958
2004-07-01,92.4141
2004-08-01,92.5783
2004-09-01,92.6156
2004-10-01,93.5000
2004-11-01,93.6866
2004-12-01,94.3195
2005-01-01,94.7075
2005-02-01,95.3015
2005-03-01,95.2423
2005-04-01,95.3260
2005-05-01,95.5000
2005-06-01,95.9000
2005-07-01,95.7684
2005-08-01,95.8884
2005-09-01,94.0153
2005-10-01,95.1840
2005-11-01,96.1125
2005-12-01,96.6602
2006-01-01,96.7540
2006-02-01,96.8319
2006-03-01,97.0741
2006-04-01,97.4499
2006-05-01,97.3416
2006-06-01,97.7165
2006-07-01,97.7638
2006-08-01,97.9660
2006-09-01,97.8370
2006-10-01,97.7452
2006-11-01,97.6316
2006-12-01,98.6314
2007-01-01,98.1608
2007-02-01,99.2559
2007-03-01,99.3295
2007-04-01,100.0512
2007-05-01,100.1109
2007-06-01,100.1159
2007-07-01,100.1435
2007-08-01,100.2699
2007-09-01,100.7148
2007-10-01,100.2223
2007-11-01,100.8053
2007-12-01,100.8200
2008-01-01,100.4978
2008-02-01,100.3008
2008-03-01,100.0078
2008-04-01,99.2273
2008-05-01,98.7652
2008-06-01,98.5639
2008-07-01,98.1182
2008-08-01,96.5457
2008-09-01,92.4795
2008-10-01,93.2450
2008-11-01,92.1643
2008-12-01,89.5631
2009-01-01,87.5481
2009-02-01,86.9871
2009-03-01,85.6509
2009-04-01,84.9332
2009-05-01,84.0667
2009-06-01,83.7572
2009-07-01,84.4816
2009-08-01,85.3714
2009-09-01,85.9532
2009-10-01,86.2231
2009-11-01,86.6394
2009-12-01,87.0436
2010-01-01,87.9640
2010-02-01,88.3021
2010-03-01,88.9705
2010-04-01,89.2674
2010-05-01,90.6754
2010-06-01,90.8744
2010-07-01,91.4059
2010-08-01,91.6491
2010-09-01,91.8829
2010-10-01,91.5685
2010-11-01,91.8155
2010-12-01,92.7225
2011-01-01,92.6088
2011-02-01,92.1748
2011-03-01,93.1137
2011-04-01,92.5765
2011-05-01,92.9126
2011-06-01,93.0774
2011-07-01,93.6088
2011-08-01,94.1212
2011-09-01,94.2216
2011-10-01,94.7474
2011-11-01,94.9598
2011-12-01,95.5239
2012-01-01,96.1959
2012-02-01,96.6672
2012-03-01,96.1393
2012-04-01,96.8572
2012-05-01,97.1042
2012-06-01,97.1322
2012-07-01,97.5571
2012-08-01,96.7850
2012-09-01,96.9549
2012-10-01,96.8281
2012-11-01,98.0201
2012-12-01,98.1594
2013-01-01,98.3042
2013-02-01,99.0446
